=== Suspicious Traffic Analysis Report ===

File analyzed: suspicious_traffic.pcapng
Total HTTP requests: 228

[Suspicious] Frame 596 | IP 10.12.61.116 | URI: /login_attempt1
[Suspicious] Frame 979 | IP 10.12.61.116 | URI: /login_attempt16
[Suspicious] Frame 989 | IP 10.12.61.116 | URI: /login_attempt17
[Suspicious] Frame 999 | IP 10.12.61.116 | URI: /login_attempt18
[Suspicious] Frame 1009 | IP 10.12.61.116 | URI: /login_attempt19
[Suspicious] Frame 1019 | IP 10.12.61.116 | URI: /login_attempt20
[Suspicious] Frame 1029 | IP 10.12.61.116 | URI: /login_attempt1
[Suspicious] Frame 1039 | IP 10.12.61.116 | URI: /login_attempt2
[Suspicious] Frame 1049 | IP 10.12.61.116 | URI: /login_attempt3
[Suspicious] Frame 1059 | IP 10.12.61.116 | URI: /login_attempt4
[Suspicious] Frame 1069 | IP 10.12.61.116 | URI: /login_attempt5
[Suspicious] Frame 1080 | IP 10.12.61.116 | URI: /login_attempt6
[Suspicious] Frame 1090 | IP 10.12.61.116 | URI: /login_attempt7
[Suspicious] Frame 1100 | IP 10.12.61.116 | URI: /login_attempt8
[Suspicious] Frame 1110 | IP 10.12.61.116 | URI: /login_attempt9
[Suspicious] Frame 1120 | IP 10.12.61.116 | URI: /login_attempt10
[Suspicious] Frame 1130 | IP 10.12.61.116 | URI: /login_attempt11
[Suspicious] Frame 1141 | IP 10.12.61.116 | URI: /login_attempt12
[Suspicious] Frame 1151 | IP 10.12.61.116 | URI: /login_attempt13
[Suspicious] Frame 1161 | IP 10.12.61.116 | URI: /login_attempt14
[Suspicious] Frame 1171 | IP 10.12.61.116 | URI: /login_attempt15
[Suspicious] Frame 1182 | IP 10.12.61.116 | URI: /login_attempt16
[Suspicious] Frame 1192 | IP 10.12.61.116 | URI: /login_attempt17
[Suspicious] Frame 1203 | IP 10.12.61.116 | URI: /login_attempt18
[Suspicious] Frame 1215 | IP 10.12.61.116 | URI: /login_attempt19
[Suspicious] Frame 1225 | IP 10.12.61.116 | URI: /login_attempt20
[Suspicious] Frame 1239 | IP 10.12.61.116 | URI: /login_attempt1
[Suspicious] Frame 1250 | IP 10.12.61.116 | URI: /login_attempt2
[Suspicious] Frame 1261 | IP 10.12.61.116 | URI: /login_attempt3
[Suspicious] Frame 1271 | IP 10.12.61.116 | URI: /login_attempt4
[Suspicious] Frame 1281 | IP 10.12.61.116 | URI: /login_attempt5
[Suspicious] Frame 1291 | IP 10.12.61.116 | URI: /login_attempt6
[Suspicious] Frame 1301 | IP 10.12.61.116 | URI: /login_attempt7
[Suspicious] Frame 1311 | IP 10.12.61.116 | URI: /login_attempt8
[Suspicious] Frame 1321 | IP 10.12.61.116 | URI: /login_attempt9
[Suspicious] Frame 1331 | IP 10.12.61.116 | URI: /login_attempt10
[Suspicious] Frame 1341 | IP 10.12.61.116 | URI: /login_attempt11
[Suspicious] Frame 1352 | IP 10.12.61.116 | URI: /login_attempt12
[Suspicious] Frame 1362 | IP 10.12.61.116 | URI: /login_attempt13
[Suspicious] Frame 1372 | IP 10.12.61.116 | URI: /login_attempt14
[Suspicious] Frame 1382 | IP 10.12.61.116 | URI: /login_attempt15
[Suspicious] Frame 1393 | IP 10.12.61.116 | URI: /login_attempt16
[Suspicious] Frame 1403 | IP 10.12.61.116 | URI: /login_attempt17
[Suspicious] Frame 1413 | IP 10.12.61.116 | URI: /login_attempt18
[Suspicious] Frame 1425 | IP 10.12.61.116 | URI: /login_attempt19
[Suspicious] Frame 1435 | IP 10.12.61.116 | URI: /login_attempt20
[Suspicious] Frame 1449 | IP 10.12.61.116 | URI: /login_attempt1
[Suspicious] Frame 1459 | IP 10.12.61.116 | URI: /login_attempt2
[Suspicious] Frame 1469 | IP 10.12.61.116 | URI: /login_attempt3
[Suspicious] Frame 1479 | IP 10.12.61.116 | URI: /login_attempt4
[Suspicious] Frame 1490 | IP 10.12.61.116 | URI: /login_attempt5
[Suspicious] Frame 1502 | IP 10.12.61.116 | URI: /login_attempt6
[Suspicious] Frame 1513 | IP 10.12.61.116 | URI: /login_attempt7
[Suspicious] Frame 1523 | IP 10.12.61.116 | URI: /login_attempt8
[Suspicious] Frame 1533 | IP 10.12.61.116 | URI: /login_attempt9
[Suspicious] Frame 1543 | IP 10.12.61.116 | URI: /login_attempt10
[Suspicious] Frame 1553 | IP 10.12.61.116 | URI: /login_attempt11
[Suspicious] Frame 1563 | IP 10.12.61.116 | URI: /login_attempt12
[Suspicious] Frame 1573 | IP 10.12.61.116 | URI: /login_attempt13
[Suspicious] Frame 1583 | IP 10.12.61.116 | URI: /login_attempt14
[Suspicious] Frame 1593 | IP 10.12.61.116 | URI: /login_attempt15
[Suspicious] Frame 1603 | IP 10.12.61.116 | URI: /login_attempt16
[Suspicious] Frame 1613 | IP 10.12.61.116 | URI: /login_attempt17
[Suspicious] Frame 1623 | IP 10.12.61.116 | URI: /login_attempt18
[Suspicious] Frame 1634 | IP 10.12.61.116 | URI: /login_attempt19
[Suspicious] Frame 1644 | IP 10.12.61.116 | URI: /login_attempt20
[Suspicious] Frame 1654 | IP 10.12.61.116 | URI: /login_attempt1
[Suspicious] Frame 1665 | IP 10.12.61.116 | URI: /login_attempt2
[Suspicious] Frame 1675 | IP 10.12.61.116 | URI: /login_attempt3
[Suspicious] Frame 1685 | IP 10.12.61.116 | URI: /login_attempt4
[Suspicious] Frame 1695 | IP 10.12.61.116 | URI: /login_attempt5
[Suspicious] Frame 1705 | IP 10.12.61.116 | URI: /login_attempt6
[Suspicious] Frame 1715 | IP 10.12.61.116 | URI: /login_attempt7
[Suspicious] Frame 1725 | IP 10.12.61.116 | URI: /login_attempt8
[Suspicious] Frame 1735 | IP 10.12.61.116 | URI: /login_attempt9
[Suspicious] Frame 1745 | IP 10.12.61.116 | URI: /login_attempt10
[Suspicious] Frame 1758 | IP 10.12.61.116 | URI: /login_attempt11
[Suspicious] Frame 1769 | IP 10.12.61.116 | URI: /login_attempt12
[Suspicious] Frame 1779 | IP 10.12.61.116 | URI: /login_attempt13
[Suspicious] Frame 1789 | IP 10.12.61.116 | URI: /login_attempt14
[Suspicious] Frame 1799 | IP 10.12.61.116 | URI: /login_attempt15
[Suspicious] Frame 1809 | IP 10.12.61.116 | URI: /login_attempt16
[Suspicious] Frame 1819 | IP 10.12.61.116 | URI: /login_attempt17
[Suspicious] Frame 1829 | IP 10.12.61.116 | URI: /login_attempt18
[Suspicious] Frame 1843 | IP 10.12.61.116 | URI: /login_attempt19
[Suspicious] Frame 1853 | IP 10.12.61.116 | URI: /login_attempt20
[Suspicious] Frame 1863 | IP 10.12.61.116 | URI: /login_attempt1
[Suspicious] Frame 1873 | IP 10.12.61.116 | URI: /login_attempt2
[Suspicious] Frame 1883 | IP 10.12.61.116 | URI: /login_attempt3
[Suspicious] Frame 1894 | IP 10.12.61.116 | URI: /login_attempt4
[Suspicious] Frame 1904 | IP 10.12.61.116 | URI: /login_attempt5
[Suspicious] Frame 1914 | IP 10.12.61.116 | URI: /login_attempt6
[Suspicious] Frame 1926 | IP 10.12.61.116 | URI: /login_attempt7
[Suspicious] Frame 1936 | IP 10.12.61.116 | URI: /login_attempt8
[Suspicious] Frame 1947 | IP 10.12.61.116 | URI: /login_attempt9
[Suspicious] Frame 1957 | IP 10.12.61.116 | URI: /login_attempt10
[Suspicious] Frame 1967 | IP 10.12.61.116 | URI: /login_attempt11
[Suspicious] Frame 1977 | IP 10.12.61.116 | URI: /login_attempt12
[Suspicious] Frame 1987 | IP 10.12.61.116 | URI: /login_attempt13
[Suspicious] Frame 1997 | IP 10.12.61.116 | URI: /login_attempt14
[Suspicious] Frame 2007 | IP 10.12.61.116 | URI: /login_attempt15
[Suspicious] Frame 2018 | IP 10.12.61.116 | URI: /login_attempt16
[Suspicious] Frame 2028 | IP 10.12.61.116 | URI: /login_attempt17
[Suspicious] Frame 2038 | IP 10.12.61.116 | URI: /login_attempt18
[Suspicious] Frame 2048 | IP 10.12.61.116 | URI: /login_attempt19
[Suspicious] Frame 2058 | IP 10.12.61.116 | URI: /login_attempt20
[Suspicious] Frame 2069 | IP 10.12.61.116 | URI: /login_attempt1
[Suspicious] Frame 2079 | IP 10.12.61.116 | URI: /login_attempt2
[Suspicious] Frame 2089 | IP 10.12.61.116 | URI: /login_attempt3
[Suspicious] Frame 2100 | IP 10.12.61.116 | URI: /login_attempt4
[Suspicious] Frame 2110 | IP 10.12.61.116 | URI: /login_attempt5
[Suspicious] Frame 2120 | IP 10.12.61.116 | URI: /login_attempt6
[Suspicious] Frame 2132 | IP 10.12.61.116 | URI: /login_attempt7
[Suspicious] Frame 2142 | IP 10.12.61.116 | URI: /login_attempt8
[Suspicious] Frame 2152 | IP 10.12.61.116 | URI: /login_attempt9
[Suspicious] Frame 2162 | IP 10.12.61.116 | URI: /login_attempt10
[Suspicious] Frame 2172 | IP 10.12.61.116 | URI: /login_attempt11
[Suspicious] Frame 2183 | IP 10.12.61.116 | URI: /login_attempt12
[Suspicious] Frame 2193 | IP 10.12.61.116 | URI: /login_attempt13
[Suspicious] Frame 2203 | IP 10.12.61.116 | URI: /login_attempt14
[Suspicious] Frame 2215 | IP 10.12.61.116 | URI: /login_attempt15
[Suspicious] Frame 2225 | IP 10.12.61.116 | URI: /login_attempt16
[Suspicious] Frame 2238 | IP 10.12.61.116 | URI: /login_attempt17
[Suspicious] Frame 2248 | IP 10.12.61.116 | URI: /login_attempt18
[Suspicious] Frame 2258 | IP 10.12.61.116 | URI: /login_attempt19
[Suspicious] Frame 2268 | IP 10.12.61.116 | URI: /login_attempt20
[Suspicious] Frame 3161 | IP 10.12.61.116 | URI: /?cmd=rm+-rf+/
[Suspicious] Frame 3290 | IP 10.12.61.116 | URI: /?cmd=rm+-rf+/
[Suspicious] Frame 3411 | IP 10.12.61.116 | URI: /?cmd=rm+-rf+/

Summary:
Suspicious login attempts: 160
Command injection patterns: 3
Long URLs (>100 chars): 0
